,left_WHOLE_NAME,left_UID,similarity,right_Company CIK Key,right_Company Name
0, AVIA GROUP LLC,2259545,0.6212226,1447162,& S MEDIA GROUP LLC
1, ALEL TECHNOLOGIES LLC,5837124,0.66705316,1690821,"2FUEL TECHNOLOGIES, INC."
2, SES INTERNATIONAL CORP,226922,0.7053486,1082932,3 E INTERNATIONAL CORP
3, SECONDEYE SOLUTION,6410625,0.7241013,897082,"3D EYE SOLUTIONS, INC."
4, MI RIM,2033304,0.65075564,1471338,"3PRIMIR, INC."
5, ATLAS EQUIPMENT COMPANY LIMITED,11553,0.60988057,1576833,"3T EQUIPMENT COMPANY, LLC"
6, VTB REAL ESTATE LIMITED LIABILITY COMPANY,1998400,0.6093603,1159609,7 ROD REAL ESTATE NORTH LIMITED LIABILITY CO
7, VTB REAL ESTATE LIMITED LIABILITY COMPANY,1998400,0.6105584,1159617,7 ROD REAL ESTATE SOUTH LIMITED LIABILITY CO
8, GREEN CAR RENT LIMITED PARTNERSHIP,376041,0.63915044,916850,A K LIMITED PARTNERSHIP
9, MAINPHARMA,5023601,0.6652913,730469,A L PHARMA INC
10, IAC INTERNATIONAL INC,232101,0.7349469,810269,A R T INTERNATIONAL INC
11, NIA INTERNATIONAL,2436802,0.660542,810269,A R T INTERNATIONAL INC
12, SPI INTERNATIONAL,5644930,0.6356415,810269,A R T INTERNATIONAL INC
13, SPI INTERNATIONAL,5644929,0.6356415,810269,A R T INTERNATIONAL INC
14, SPI INTERNATIONAL,5644868,0.6356415,810269,A R T INTERNATIONAL INC
15, A T E INTERNATIONAL LTD,7302,0.6168935,810269,A R T INTERNATIONAL INC
16, U I INTERNATIONAL,34626,0.61460924,810269,A R T INTERNATIONAL INC
17, CK INTERNATIONAL LTD,3747404,0.6099354,810269,A R T INTERNATIONAL INC
18, CK INTERNATIONAL LTD,3747403,0.6099354,810269,A R T INTERNATIONAL INC
19, SES INTERNATIONAL CORP,226922,0.6087971,810269,A R T INTERNATIONAL INC
20," GAZ-OIL, OOO",1435900,0.6068684,1088790,A Z OIL LLC
21, DMI TRADING INC,4211082,0.63891894,894485,"A.C. TRADING, INC."
22, ATLANTIC SHIP MANAGEMENT COMPANY,6110163,0.61622864,1648069,"A.P. MANAGEMENT COMPANY, LLC"
23, NORTH GROUP HOLDING CORP,2570227,0.6267408,1311835,AAC GROUP HOLDING CORP.
24, SPI INTERNATIONAL,5644930,0.636162,1172443,AAI INTERNATIONAL INC
25, SPI INTERNATIONAL,5644929,0.636162,1172443,AAI INTERNATIONAL INC
26, SPI INTERNATIONAL,5644868,0.636162,1172443,AAI INTERNATIONAL INC
27, IAC INTERNATIONAL INC,232101,0.61956394,1172443,AAI INTERNATIONAL INC
28, U I INTERNATIONAL,34626,0.6151124,1172443,AAI INTERNATIONAL INC
29, CHAM HOLDING,1501405,0.67893714,1601648,"AAM HOLDINGS, INC."
30, IAC INTERNATIONAL INC,232101,0.68163645,1563188,"AAR INTERNATIONAL, INC."
31, YONA STAR INTERNATIONAL,3084924,0.6555165,1563188,"AAR INTERNATIONAL, INC."
32, YONA STAR INTERNATIONAL,3084831,0.6555165,1563188,"AAR INTERNATIONAL, INC."
33, NIA INTERNATIONAL,2436802,0.6126286,1563188,"AAR INTERNATIONAL, INC."
34, GPB FINANCIAL SERVICES LIMITED,2368975,0.6424684,1142011,AB FINANCIAL SERVICES LLC
35, SES INTERNATIONAL CORP,226922,0.635995,911599,ABACUS INTERNATIONAL CAPITAL CORP.
36, ABBA,939165,0.6228204,1108716,ABBA FUND L P
37, ABBA,939165,0.65964884,1500650,"ABBACORE, LLC"
38, ABBA,939165,0.603295,1088795,ABBACY CORP
39,Abbas EBERAHIM,3760976,0.6221518,1296961,ABBASI EBRAHIM
40, ABBA,939165,0.6000714,1420911,ABBATE MARK L
41, IRAN COMBINE MANUFACTURING CO.,5172995,0.60110676,1257335,ABBEVILLE MANUFACTURING CO
42,Adil Abdallah MAHDI,148028,0.6431776,1547099,ABDALLAH MAHMOUD
43,Mahmoud Ahmad AL-RAMAHI,417107,0.62911737,1547099,ABDALLAH MAHMOUD
44,Mahmoud ALAVI,2088766,0.6120784,1547099,ABDALLAH MAHMOUD
45,Abdel-Salam Abdel-Rahman ALAWI,11456,0.6527407,1653259,ABDEL-RAHMAN RAMI
46,Ali ABDOLLAHI,491926,0.72178316,1678223,ABDOLLAHIAN NEIL
47,Hamed ABDOLLAHI,1601122,0.6608793,1678223,ABDOLLAHIAN NEIL
48,Abdullah Ahmed ABDULLAH,13676,0.6375096,1248301,ABDUL LADHA
49,Abdul Latif SAAD,3765654,1.0000001,1477912,ABDUL-LATIF SAAD
50,Dr Abdul Latif SALEH,353007,0.77504945,1477912,ABDUL-LATIF SAAD
51,Abdullah Ahmed ABDULLAH,13676,0.65307677,1138314,ABDULLAH ABDULLAZIZ BIN FAHAD BIN
52,Abdullah ANSHORI,234982,0.6098396,1138314,ABDULLAH ABDULLAZIZ BIN FAHAD BIN
