,left_lastname_phone,left_UID,similarity,right_requestID,right_lastnamePhone
0,"[b'SRFK', None]",3531712,1.0,GG1234575,"[b'SRFK', None]"
1,"[b'SRFK', None]",3531711,1.0,GG1234575,"[b'SRFK', None]"
2,"[b'SRFK', None]",3325030,1.0,GG1234575,"[b'SRFK', None]"
3,"[b'SRFK', None]",1019057,1.0,GG1234575,"[b'SRFK', None]"
4,"[b'SRFK', None]",339087,1.0,GG1234575,"[b'SRFK', None]"
5,"[b'SRFK', None]",3531712,1.0,GG1234576,"[b'SRFK', None]"
6,"[b'SRFK', None]",3531711,1.0,GG1234576,"[b'SRFK', None]"
7,"[b'SRFK', None]",3325030,1.0,GG1234576,"[b'SRFK', None]"
8,"[b'SRFK', None]",1019057,1.0,GG1234576,"[b'SRFK', None]"
9,"[b'SRFK', None]",339087,1.0,GG1234576,"[b'SRFK', None]"
10,"[b'SRFK', None]",3531712,1.0,GG1234577,"[b'SRFK', None]"
11,"[b'SRFK', None]",3531711,1.0,GG1234577,"[b'SRFK', None]"
12,"[b'SRFK', None]",3325030,1.0,GG1234577,"[b'SRFK', None]"
13,"[b'SRFK', None]",1019057,1.0,GG1234577,"[b'SRFK', None]"
14,"[b'SRFK', None]",339087,1.0,GG1234577,"[b'SRFK', None]"
15,"[b'LTRN', None]",1944450,1.0,FF1234579,"[b'LTRN', None]"
16,"[b'LTRN', None]",1944450,1.0,FF1234580,"[b'LTRN', None]"
17,"[b'LTRN', None]",1944450,1.0,FF1234581,"[b'LTRN', None]"
18,"[b'LTRN', None]",1944450,1.0,FF1234582,"[b'LTRN', None]"
19,"[b'MSMK', b'MTSM']",2438958,0.99999994,MM1234592,"[b'MSMK', b'MTSM']"
20,"[b'MTSM', None]",5425896,0.6122696,MM1234592,"[b'MSMK', b'MTSM']"
21,"[b'MSMK', b'MTSM']",2438958,0.99999994,MM1234593,"[b'MSMK', b'MTSM']"
22,"[b'MTSM', None]",5425896,0.6122696,MM1234593,"[b'MSMK', b'MTSM']"
23,"[b'MSMK', b'MTSM']",2438958,0.99999994,MM1234594,"[b'MSMK', b'MTSM']"
24,"[b'MTSM', None]",5425896,0.6122696,MM1234594,"[b'MSMK', b'MTSM']"
25,"[b'TMXN', b'TMKN']",5136122,0.68279445,UU1234619,"[b'TMKN', None]"
26,"[b'TMJN', b'TMKN']",4211075,0.67633617,UU1234619,"[b'TMKN', None]"
27,"[b'TMXN', b'TMKN']",5136122,0.68279445,UU1234620,"[b'TMKN', None]"
28,"[b'TMJN', b'TMKN']",4211075,0.67633617,UU1234620,"[b'TMKN', None]"
29,"[b'KRMN', None]",3802402,1.0,WW1234623,"[b'KRMN', None]"
30,"[b'KRMN', None]",2898002,1.0,WW1234623,"[b'KRMN', None]"
31,"[b'KRMN', None]",2522148,1.0,WW1234623,"[b'KRMN', None]"
32,"[b'KRMN', None]",2522147,1.0,WW1234623,"[b'KRMN', None]"
33,"[b'KRMN', None]",2522146,1.0,WW1234623,"[b'KRMN', None]"
34,"[b'KRMN', None]",2522145,1.0,WW1234623,"[b'KRMN', None]"
35,"[b'KRMN', None]",134742,1.0,WW1234623,"[b'KRMN', None]"
36,"[b'KRMN', None]",3802402,1.0,WW1234624,"[b'KRMN', None]"
37,"[b'KRMN', None]",2898002,1.0,WW1234624,"[b'KRMN', None]"
38,"[b'KRMN', None]",2522148,1.0,WW1234624,"[b'KRMN', None]"
39,"[b'KRMN', None]",2522147,1.0,WW1234624,"[b'KRMN', None]"
40,"[b'KRMN', None]",2522146,1.0,WW1234624,"[b'KRMN', None]"
41,"[b'KRMN', None]",2522145,1.0,WW1234624,"[b'KRMN', None]"
42,"[b'KRMN', None]",134742,1.0,WW1234624,"[b'KRMN', None]"
43,"[b'KRMN', None]",3802402,1.0,WW1234625,"[b'KRMN', None]"
44,"[b'KRMN', None]",2898002,1.0,WW1234625,"[b'KRMN', None]"
45,"[b'KRMN', None]",2522148,1.0,WW1234625,"[b'KRMN', None]"
46,"[b'KRMN', None]",2522147,1.0,WW1234625,"[b'KRMN', None]"
47,"[b'KRMN', None]",2522146,1.0,WW1234625,"[b'KRMN', None]"
48,"[b'KRMN', None]",2522145,1.0,WW1234625,"[b'KRMN', None]"
49,"[b'KRMN', None]",134742,1.0,WW1234625,"[b'KRMN', None]"
50,"[b'ANTN', None]",4326186,1.0,YY1234626,"[b'ANTN', None]"
51,"[b'ANTN', None]",2929936,1.0,YY1234626,"[b'ANTN', None]"
