,left_WHOLE_NAME,left_UID,similarity_x,right_requestID,right_wholeName,left_lastname_phone,similarity_y,right_lastnamePhone
0,LAJNAT AL DAAWA AL ISLAMIYYA,137896,0.5080337,BB099931,GAMAA ALISLAMIYYA,,,
1,ALITIHAAD ALISLAMIYA,39176,0.37452844,BB099931,GAMAA ALISLAMIYYA,,,
2,JEMAA ISLAMIYAH,57652,0.37351352,BB099931,GAMAA ALISLAMIYYA,,,
3,ANSAR ALISLAM,80486,0.3509103,BB099931,GAMAA ALISLAMIYYA,,,
4,FATAH ALISLAM,538378,0.30756065,BB099931,GAMAA ALISLAMIYYA,,,
5,HARAKAT SHAM ALISLAM,2145732,0.29829824,BB099931,GAMAA ALISLAMIYYA,,,
6,KHABIYYAH,3398446,0.2872256,BB099931,GAMAA ALISLAMIYYA,,,
7,ESLAMI,1306414,0.27978072,BB099931,GAMAA ALISLAMIYYA,,,
8,ANSARUL ISLAM,3796419,0.26050553,BB099931,GAMAA ALISLAMIYYA,,,
9,ANSARUL ISLAM,3282968,0.26050553,BB099931,GAMAA ALISLAMIYYA,,,
10,LAJNAT AL DAAWA AL ISLAMIYYA,137896,0.52194095,BB099932,GANAA ALISLAMIYYA,,,
11,ALITIHAAD ALISLAMIYA,39176,0.38478106,BB099932,GANAA ALISLAMIYYA,,,
12,ANSAR ALISLAM,80486,0.36051643,BB099932,GANAA ALISLAMIYYA,,,
13,FATAH ALISLAM,538378,0.31598005,BB099932,GANAA ALISLAMIYYA,,,
14,MANAA,1146175,0.30814403,BB099932,GANAA ALISLAMIYYA,,,
15,KHABIYYAH,3398446,0.2950883,BB099932,GANAA ALISLAMIYYA,,,
16,JEMAA ISLAMIYAH,57652,0.2944514,BB099932,GANAA ALISLAMIYYA,,,
17,ESLAMI,1306414,0.28743964,BB099932,GANAA ALISLAMIYYA,,,
18,ANSARUL ISLAM,3796419,0.2676368,BB099932,GANAA ALISLAMIYYA,,,
19,ANSARUL ISLAM,3282968,0.2676368,BB099932,GANAA ALISLAMIYYA,,,
20,HARAKAT SHAM ALISLAM,2145732,0.26299015,BB099932,GANAA ALISLAMIYYA,,,
21,SYRIA INTERNATIONAL ISLAMIC BANK,1674617,0.25665677,BB099932,GANAA ALISLAMIYYA,,,
22,CHAM ISLAMIC BANK,1674620,0.25462288,BB099932,GANAA ALISLAMIYYA,,,
23,LAJNAT AL DAAWA AL ISLAMIYYA,137896,0.27015427,BB099933,GAMAA ALISLANLYYA,,,
24,ANSAR ALISLAM,80486,0.26667726,BB099933,GAMAA ALISLANLYYA,,,
25,ESTACIONES DE SERVICIOS CANARIAS SA DE,1799569,0.4130299,GG1234575,SERVICIOS CHULAVISTA SA DE,,,
26,SERVICIOS SILSA SAC,1019057,0.3777575,GG1234575,SERVICIOS CHULAVISTA SA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
27,MULTISERVICIOS AGSA SA DE,769072,0.36420238,GG1234575,SERVICIOS CHULAVISTA SA DE,,,
28,ESTACION DE SERVICIO SERVIAGRICOLA DEL ARIARI,1218405,0.3556454,GG1234575,SERVICIOS CHULAVISTA SA DE,,,
29,VISTA,939124,0.35467917,GG1234575,SERVICIOS CHULAVISTA SA DE,,,
30,ADT PETROSERVICIOS SA DE,1831168,0.3485756,GG1234575,SERVICIOS CHULAVISTA SA DE,,,
31,GASOLINERA Y SERVICIOS VILLABONITA SA DE,1802937,0.34108743,GG1234575,SERVICIOS CHULAVISTA SA DE,,,
