UID,LAST_NAME,FIRST_NAME,ALIASES,ALTERNATIVE_SPELLING
7,AL-JABBURI,Sadi Tuma Abbas,"AL JABBURI,Sadi Tumah Abbas;AL-JABBURI,Sadi Tuma Abbas;AL-JABOURI,Saadi Tuama Abbas",
12,ABD-AL-GHAFUR,Humam abd-al-Khaliq,"'ABD AL-RAHMAN,Humam 'abd al-Khaliq;ABD AL-GHAFUR,Humam Abd al-Khaliq;ABD AL-GHAFUR,Humam abd al-Khaliq;ABD AL-RAHMAN,Humam 'Abd al-Khaliq;ABD AL-RAHMAN,Humam abd al-Khaliq;ABD-AL-GHAFUR,HUMAM ABD-AL-KHALIQ;ABD-AL-GHAFUR,Humam abd-al-Khaliq;ABDEL-GHAFOUR,Houmam Abdel-Khalik;ABDEL-RAHMAN,Houmam Abdel-Khalik;GHAFUR,Humam Abdel Khaleq Abdel;HUMAM ABD-AL-KHALIQ ABD-AL-GHAFUR;Houmam Abdel-Khalik Abdel-Ghafour;Houmam Abdel-Khalik Abdel-Rahman;Houmam Abdel-Khalil Rachid;Humam 'Abd al-Khaliq 'Abd al-Rahman;Humam 'Abd-al-Khaliq Rashid;Humam Abd-al-Khaliq Abd-al-Ghafur;RACHID,Houmam Abdel-Khalil;RASHID,Humam 'Abd-al-Khaliq;RASHID,Humam 'abd al-Khaliq;RASHID,Humam Abd-al-Khaliq;Rashid,Humam Abd-al-Khaliq;al-Rahman,Humam Abd al-Khaliq Abd",
86,AL-AHMAD,Mahmud Dhiyab,"AL-AHMAD,Mahmoud Dhiyab;AL-AHMAD,Mahmoud Diab;AL-AHMAD,Mahmud Dhiyab;AL-AHMED,MAHMUD DHIYAB;AL-AHMED,Mahmoud Dhiab;AL-AHMED,Mahmud Dhiyab;MAHMUD DHIYAB AL-AHMED;Mahmoud Dhiab Al-Ahmed;Mahmud Dhiyab Al-Ahmed",
152,AL-ASSAD,Bashar,"AL ASAD,Bashar;AL ASAD,Bassar Hafiz;AL ASSAD,Bashar;AL ASSAD,Bashar Hafez;AL ASSAD,Bassar Hafiz;AL-'ASAD,Bashar;AL-'ASAD,Bassar Hafiz;AL-ASAD,Bashar;AL-ASSAD Bashar;AL-ASSAD,BASHAR;AL-ASSAD,Baschar;AL-ASSAD,Bashar;AL-ASSAD,Bassar Hafiz;ASAD,BASHAR AL;ASAD,Bashar Al;ASSAD,Bashar;Al Asad,Bashar;Al Asad,Bassar Hafiz;Al Assad,Bashar;Al Assad,Bassar Hafiz;Al-Assad Bashar;Al-Assad,Bashar;Al-Assad,Bassar Hafiz;Bashar AL ASAD;Bashar AL-ASAD;Bashar AL-ASSAD;Bashar ASSAD;Bashar Al Assad;Bashar Al-Assad;Bashar al-'Asad;Bashar al-Asad;Bashar al-Assad;Baszar al-Assad;Ba¨ar Al-Assad;Ba¨ár Asád;al-'Asad,Bashar;al-'Asad,Bassar Hafiz",
173,GAMA'A AL-ISLAMIYYA,,"AL JAMA'A AL-ISLAMIYA;AL JAMAAT AL ISLAMIYA;AL JAMAAT AL ISLAMIYYA;AL-GAMA'A AL-ISLAMIYYA;AL-GAMA'AT;AL-GAMA'AT AL-ISLAMIYA;AL-GAMA'AT AL-ISLAMIYYA;AL-GAMAA AL-ISLAMIYA;AL-JAMA'A AL-ISLAMIYYA;Al Gama al Islamiya;Al Jama'a Al-Islamiya;Al-Gama'a Al-Islamiyya;Al-Gama'a al-Islamiyya;Al-Gama'a al-Islamiyya (AGAI);Al-Gama'a al-Islamiyya (GI);Al-Gama'a al-Islamiyya - IG;Al-Gama'a al-Islamiyya, IG;Al-Gama'a al-Islamiyya,IG;Al-Gama'at al-Islamiya;Al-Gama'at al-Islamiya (GI);Al-Gama'at al-Islamiya (IG);Al-Gamàa al-Islamiyya;Al-Jama'a al-islamiya (AJAI);EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA;EL GAMA'A EL ISLAMIYYA;Egyptian Islamic Group (EIG);GAI;GAMA'A AL-ISLAMIYYA (IG);GAMA'A ISLAMIYYA;GAMAA ISLAMIYYA;GAMAAT ISLAMIYA;GAMAAT ISLAMIYA, AL JAMAAT AL ISLAMIYA;GI;GI (Grupul Islamic,Gamm'a al-Islamiyya);GROUPE ISLAMIQUE;GRUPO ISLÁMICO;Gama'a al Islamiyya;Gama'a al-Islamiyya;Gama'a al-Islamiyya (Groupe islamique);Gama'a al-Islamiyya (Grupo Islámico);Gama'a al-Islamiyya (Grupp Islamiku);Gama'a al-Islamiyya (Islamic Group (IG));Gama'a al-Islamiyya (Islamic Group - IG);Gama'a al-Islamiyya (Islamic Group);Gama'a al-Islamiyya (Islamic Group) (IG);Gama'a al-Islamiyya (Islamitische Groep);Gamàa al-Islamiyya;Groupe islamique;Groupe islamique (GI);Groupe islamique - GI;Grupa Islamska;Grupa Islamska - GI;Grupo Islámico;Grupo Islámico (GI);Grupo Islámico - GI;Grupo Islâmico;Grupo Islâmico (GI);Grupo Islâmico - GI;Grupp Islamiku;Gruppo islamico;Grupul Islamic;Grupul Islamic - GI;Grupul Islamic - IG;Grúpa Ioslamach;Grúpa Ioslamach - GI;IG;IG (Islamic Group, Gama'a al-Islamiyya);IG (Islamic Group,Gamm'a al-Islamiyya);ISLAMIC GAMA'AT;ISLAMIC GROUB IN EGYPT;ISLAMIC GROUP;ISLAMIC GROUP AL-GAMA'A AL-ISLAMYYA;ISLAMIC GROUPS;Islama grupa;Islamic Group;Islamic Group (IG);Islamic Group - IG;Islamic Group, (IG);Islamic Group- Al-Gama'al-Islamiya;Islamirühmitus;Islamirühmitus - IG;Islamische Gruppe;Islamische Gruppe - IG;Islamisk Gruppe;Islamisk Gruppe - IG;Islamiska gruppen;Islamiska gruppen - IG;Islamitische Groep;Islamo grupe;Islamska skupina;Islamská skupina;Islamská skupina - IG;Islámská skupina;Islámská skupina - IG;Iszlám Csoport;JAMA'A AL-ISLAMIYA;JAMA'A ISLAMIA IN EGYPT;JAMAAT AL ISLAMIYA;Jamaat al-islamiyya;THE ISLAMIC GROUP;The Islamic Group;al-Gamá ' a al-Islámíja;al-Gamá'a al-Islámíja;al-Jamaat al-Islamiyya;islami rühmitus;islami rühmitus - IG;islamisk gruppe;islamisticna skupina",
287,ARMED ISLAMIC GROUP,,'GIA';AL JAMM'AH AL-ISLAMIAH AL- MUSALLAH;AL JAMM'AH AL-ISLAMIAH AL-MUSALLAH;AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH;Al Islamiah;Al Jamm'ah;Al Jamm'ah Al Islamiah Al-Musallah;Al Jamm'ah Al-Islamiah Al- Musallah;Al Jamm'ah Al-Islamiah Al-Musallah;Al Jamm'ah Al-Islamiah Al-Musullah;Al-Musallah;Aljama Alislamia AlMusalacha;Armed Islamic Group;Armed Islamic Group (GIA);Armed Islamic Group (Groupe Islamique Armée) (GIA);GIA;GROUPE ISLAMIQUE ARMÉ;GROUPE ISLAMIQUE ARMÉ (GIA);GROUPEMENT ISLAMIQUE ARME;GROUPEMENT ISLAMIQUE ARMÉ;GROUPES ISLAMIQUES ARMES;Group Islamique Arme;Groupe Islamique Arme;Groupe Islamique Armé;Groupe Islamique Armée;Groupe Islamique Armée (GIA);Groupe islamique armé;Groupe islamique armé (GIA);Groupement Islamique Arme;Groupement Islamique Armé;Grupo Islâmico Armado;Grupp Islamiku Armat;Grupp Islamiku Armat (GIA);Gruppo Islamico Armato;Grupul islamic armat;Ozbrojená islamská skupina;The Armed Islamic Group (GIA),
312,AL-ATRUSH,Abd al-Wahhab Umar Mirza,"AL-ATRUSH,Abd al-Wahhab Umar Mirza;AL-ATRUSHI,Abdel Wahab",
337,AZIZ,Tariq,"AZIZ,TARIQ;AZIZ,Tarek;AZIZ,Tarek Mikhail;AZIZ,Tariq;AZIZ,Tariq Mikhail;Aziz,Tarek;Aziz,Tarek Mikhail;Aziz,Tariq;Aziz,Tariq Mikhail;HANNA,Mikhael;TARIQ AZIZ;Tarek Aziz;Tarek Mikhail Aziz;Tariq Aziz;Tariq Mikhail Aziz;YAHUNNA,Mikhail;YUHANNA,Mikhail",
339,AL-AZZAWI,Hikmat Mizban Ibrahim,"AL AZZAWI,Hikmat Mizban Ibrahim;AL-AZZAOUI,Hikmat Mizban Ibrahim;AL-AZZAWI,HIKMAT MIZBAN IBRAHIM;AL-AZZAWI,Hekmat Mezian Ibrahim;AL-AZZAWI,Hekmat Mezian Ibraiem;AL-AZZAWI,Hikmat Mizban Ibrahim;HIKMAT MIZBAN IBRAHIM AL-AZZAWI;Hikmat Mizban Ibrahim Al-Azzaoui;Hikmat Mizban Ibrahim al-Azzaoui;Hikmat Mizban Ibrahim al-Azzawi",
396,EUZKADI TA ASKATASUNA,,ANV;ANV / EAE;ASKATASUNA;Acción Nacionalista Vasca;Acción Nacionalista Vasca / Euskal Abertzale Ekintza (ANV / EAE);Acción Nacionalista Vasca / Euskal Abertzale Ekintza (ANV/EAE);Askatasuna;BASKENLAND EN VRIJHEID;BASQUE FATHERLAND AND LIBERTY;BASQUE HOMELAND AND FREEDOM;BASQUE HOMELAND AND LIBERTY;BASQUE NATION AND LIBERTY;BATASUNA;Baskicko a jeho svoboda;Baskijska domovina i sloboda;Baskimaa ja Vabadus;Baskisches Vaterland und Freiheit;Baskovska domovina in svoboda;Basque Fatherland and Liberty;Basque Fatherland and Liberty (ETA);Basque Fatherland and Liberty and Basque Homeland and Freedom;Basque Homeland and Freedom;Basque Homeland and Liberty;Basque Homeland and Liberty (Euskadi ta Askatasuna) (ETA);Basque Nation and Liberty;Batasuna;Den baskiske befrielseshær;EAE;EHAK;EKIN;EPANASTATIKI PIRINES;ETA;EUSKADI TA ASKATASUNA;EUSKADI TA ASKATASUNA (ETA);EUSKAL HERRITARROK;Ekin;Ekin Jarrai-Haika-Segi;Epanastatiki Pirines;Euskadi Ta Askatasuna;Euskadi Ta Askatasuna (ETA);Euskadi Ta Askatasuna / Tierra Vasca y Libertad - ETA;Euskadi Ta Askatasuna/Tierra Vasca y Libertad - E.T.A.;Euskadi Ta Askatasuna/Tierra Vasca y Libertad/Baskisches Vaterland and Freiheit;Euskadi Ta Askatasuna/Tierra Vasca y Libertad/Pays basque et liberté (ETA);Euskadi ta Askatasuna;Euskal Abertzale Ekintza;Euskal Herrialdeetako Alderdi Komunista;Euskal Herritarrok;Euzkadi Ta Askatasanu;Euzkadi Ta Askatasuna;Euzkadi Ta Azkatasuna;GESTORAS PRO-AMNISTIA;Gestoras pro-amnistía;Gestoras proamnistía;HERRI BATASUNA;Herri Batasuna;Herri Batazuna;JARRAI-HAIKA-SEGI;Jarrai-Haika-Segi;K.A.S.;K.a.s.;PAYS BASQUE ET LIBERTE;PAYS BASQUE ET LIBERTE (ETA);PCTV;PCTV/EHAK;POPULAR REVOLUTIONARY STRUGGLE;Partido Comunista de las Tierras Vascas;Partido Comunista de las Tierras Vascas / Euskal Herrialdeetako Alderdi Komunista (PCTV/EHAK);Patria basca e libertà;Pays basque et Liberté;Pays basque et liberté;Pays basque et liberté (ETA);Popular Revolutionary Struggle;Pátria Basca e Liberdade;TIERRA VASCA Y LIBERTAD;Tierra Vasca y Libertad;Tierra Vasca y Libertad - ETA;XAKI;Xaki,
